Java HotSpot(TM) 64-Bit Server VM (25.191-b12) for windows-amd64 JRE (1.8.0_191-b12), built on Oct  6 2018 09:29:03 by "java_re" with MS VC++ 10.0 (VS2010)
449.080: [GC (Allocation Failure) [PSYoungGen: 22048K->8768K(10752K)] 822025K->822097K(942080K), 0.0663442 secs] [Times: user=0.22 sys=0.03, real=0.07 secs] 
450.147: [GC (Allocation Failure) [PSYoungGen: 10304K->5152K(67584K)] 823633K->823609K(998912K), 0.0312751 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
451.180: [GC (Allocation Failure) [PSYoungGen: 7200K->5184K(7680K)] 825657K->825713K(939008K), 0.0237935 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
452.206: [GC (Allocation Failure) [PSYoungGen: 7232K->4160K(64000K)] 827761K->827769K(995328K), 0.0221579 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
453.231: [GC (Allocation Failure) [PSYoungGen: 6720K->2592K(5632K)] 830329K->830305K(936960K), 0.0213103 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
454.255: [GC (Allocation Failure) [PSYoungGen: 5152K->2624K(60416K)] 832865K->832913K(991744K), 0.0172183 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
456.277: [GC (Allocation Failure) [PSYoungGen: 5696K->3104K(6656K)] 835985K->835969K(937984K), 0.0184769 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
457.296: [GC (Allocation Failure) [PSYoungGen: 6176K->3104K(56320K)] 839041K->839057K(987648K), 0.0199201 secs] [Times: user=0.11 sys=0.01, real=0.02 secs] 
459.321: [GC (Allocation Failure) [PSYoungGen: 7200K->4160K(8704K)] 843153K->843201K(940032K), 0.0226691 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
462.366: [GC (Allocation Failure) [PSYoungGen: 8256K->8256K(49664K)] 847297K->847297K(980992K), 0.0256577 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
464.397: [GC (Allocation Failure) [PSYoungGen: 12864K->12864K(17920K)] 851905K->851905K(949248K), 0.0394312 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
466.441: [GC (Allocation Failure) [PSYoungGen: 17472K->17408K(48640K)] 856513K->856449K(979968K), 0.0530932 secs] [Times: user=0.19 sys=0.00, real=0.05 secs] 
469.501: [GC (Allocation Failure) [PSYoungGen: 22528K->22560K(49664K)] 861569K->861601K(980992K), 0.0674560 secs] [Times: user=0.31 sys=0.00, real=0.07 secs] 
471.571: [GC (Allocation Failure) [PSYoungGen: 27680K->27680K(48640K)] 866721K->866721K(979968K), 0.0844413 secs] [Times: user=0.23 sys=0.00, real=0.09 secs] 
473.659: [GC (Allocation Failure) [PSYoungGen: 31264K->31264K(50688K)] 870305K->870305K(982016K), 0.0924452 secs] [Times: user=0.33 sys=0.00, real=0.09 secs] 
475.755: [GC (Allocation Failure) [PSYoungGen: 34848K->34848K(51200K)] 873889K->873889K(982528K), 0.1031013 secs] [Times: user=0.38 sys=0.00, real=0.10 secs] 
476.860: [GC (Allocation Failure) [PSYoungGen: 35872K->31744K(54272K)] 874913K->874897K(985600K), 0.1055180 secs] [Times: user=0.44 sys=0.00, real=0.11 secs] 
476.966: [GC (Allocation Failure) [PSYoungGen: 32768K->24096K(53248K)] 875921K->875977K(984576K), 0.0994760 secs] [Times: user=0.41 sys=0.00, real=0.10 secs] 
478.068: [GC (Allocation Failure) [PSYoungGen: 25632K->15904K(17920K)] 877513K->877545K(949248K), 0.0752034 secs] [Times: user=0.31 sys=0.00, real=0.08 secs] 
479.145: [GC (Allocation Failure) [PSYoungGen: 17440K->8704K(49664K)] 879081K->879081K(980992K), 0.0518153 secs] [Times: user=0.19 sys=0.00, real=0.05 secs] 
480.199: [GC (Allocation Failure) [PSYoungGen: 10752K->6208K(8704K)] 881129K->881217K(940032K), 0.0326124 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
481.234: [GC (Allocation Failure) [PSYoungGen: 8256K->5696K(48640K)] 883265K->883273K(979968K), 0.0253930 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
482.261: [GC (Allocation Failure) [PSYoungGen: 8256K->4640K(7680K)] 885833K->885809K(939008K), 0.0253755 secs] [Times: user=0.11 sys=0.02, real=0.03 secs] 
483.289: [GC (Allocation Failure) [PSYoungGen: 7200K->2624K(47104K)] 888369K->888409K(978432K), 0.0228859 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
485.315: [GC (Allocation Failure) [PSYoungGen: 5696K->3168K(48128K)] 891481K->891537K(979456K), 0.0181297 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
487.337: [GC (Allocation Failure) [PSYoungGen: 6240K->3136K(45056K)] 894609K->894593K(976384K), 0.0196564 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
489.360: [GC (Allocation Failure) [PSYoungGen: 7232K->4192K(8704K)] 898689K->898737K(940032K), 0.0227974 secs] [Times: user=0.11 sys=0.01, real=0.02 secs] 
491.387: [GC (Allocation Failure) [PSYoungGen: 8288K->4160K(41984K)] 902833K->902825K(973312K), 0.0283282 secs] [Times: user=0.08 sys=0.02, real=0.03 secs] 
493.419: [GC (Allocation Failure) [PSYoungGen: 8768K->8768K(13824K)] 907433K->907433K(945152K), 0.0283905 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
495.450: [GC (Allocation Failure) [PSYoungGen: 13376K->13344K(38400K)] 912041K->912009K(969728K), 0.0421039 secs] [Times: user=0.19 sys=0.00, real=0.04 secs] 
498.496: [GC (Allocation Failure) [PSYoungGen: 18464K->18464K(39936K)] 917129K->917129K(971264K), 0.0549067 secs] [Times: user=0.20 sys=0.00, real=0.06 secs] 
501.556: [GC (Allocation Failure) [PSYoungGen: 23584K->23584K(38912K)] 922249K->922249K(970240K), 0.0698848 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
503.631: [GC (Allocation Failure) [PSYoungGen: 27168K->27168K(40960K)] 925833K->925833K(972288K), 0.0807541 secs] [Times: user=0.31 sys=0.00, real=0.08 secs] 
504.714: [GC (Allocation Failure) [PSYoungGen: 30752K->30720K(40960K)] 929417K->929385K(972288K), 0.0915973 secs] [Times: user=0.38 sys=0.00, real=0.09 secs] 
505.807: [GC (Allocation Failure) [PSYoungGen: 31232K->27168K(44544K)] 929897K->929953K(975872K), 0.0926397 secs] [Times: user=0.34 sys=0.00, real=0.09 secs] 
505.900: [GC (Allocation Failure) [PSYoungGen: 27680K->18432K(42496K)] 930465K->930457K(973824K), 0.0807061 secs] [Times: user=0.31 sys=0.00, real=0.08 secs] 
505.981: [GC (Allocation Failure) [PSYoungGen: 19456K->9280K(10752K)] 931481K->931577K(942080K), 0.0578408 secs] [Times: user=0.22 sys=0.00, real=0.06 secs] 
506.039: [Full GC (Ergonomics) [PSYoungGen: 9280K->0K(10752K)] [ParOldGen: 922297K->929721K(1209344K)] 931577K->929721K(1220096K), [Metaspace: 30262K->30262K(1077248K)], 8.2297170 secs] [Times: user=29.11 sys=0.14, real=8.23 secs] 
515.271: [GC (Allocation Failure) [PSYoungGen: 1024K->1088K(43520K)] 930745K->930809K(1252864K), 0.0052994 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
516.278: [GC (Allocation Failure) [PSYoungGen: 2624K->2656K(43520K)] 932345K->932377K(1252864K), 0.0094598 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
516.439: [GC (Allocation Failure) [PSYoungGen: 4192K->3136K(41472K)] 933913K->933897K(1250816K), 0.0141148 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
518.291: [GC (Allocation Failure) [PSYoungGen: 5184K->2112K(4608K)] 935945K->935953K(1213952K), 0.0170998 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
519.311: [GC (Allocation Failure) [PSYoungGen: 4160K->2112K(39936K)] 938001K->938025K(1249280K), 0.0137830 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
520.327: [GC (Allocation Failure) [PSYoungGen: 4672K->2592K(5632K)] 940585K->940561K(1214976K), 0.0150902 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
521.345: [GC (Allocation Failure) [PSYoungGen: 5152K->2592K(36864K)] 943121K->943137K(1246208K), 0.0167552 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
523.364: [GC (Allocation Failure) [PSYoungGen: 5664K->3136K(6656K)] 946209K->946257K(1216000K), 0.0182128 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
524.383: [GC (Allocation Failure) [PSYoungGen: 6208K->3136K(34816K)] 949329K->949345K(1244160K), 0.0199401 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
